ing-name	ing-availability	calories	fat	protein	carbohydrates	cholesterol
STRING	INTEGER	INTEGER	INTEGER	INTEGER	INTEGER	INTEGER
; Vegetables
Artichoke	[1 2 3 4 5 10 11 12]	47	1	3	11	0
Asparagus	[2 3 4 5 6]	20	0	2	4	0
Avocado	[0]	160	15	2	9	0
Eggplant	[6 7 8 9]	24	0	1	6	0
Beans	[6 7 8 9]	347	1	21	63	0
Peas	[6 7 8 9]	81	1	5	14	0
Broccoli	[4 5 6 7 8 9 10]	0	33	3	7	0
Cabbage	[6 7 8 9]	24	0	1	6	0
Carrot	[7 8 9 10]	41	0	1	19	0
Cauliflower	[8 9 10 11 12]	24	0	2	5	0
Celery	[0]	16	0	0	3	0
Lettuce	[4 5 6 7 8 9]	14	0	1	3	0
Corn	[6 7 8 9 10]	365	5	9	74	0
Garlic	[0]	148	1	6	33	0
Onion	[0]	39	0	1	9	0
Pepper	[6 7 8 9 10]	39	0	2	9	0
Spinach	[1 2 11 12]	23	0	3	4	0
Cucumber	[5 6 7 8 9]	15	0	1	4	0
Tomato	[0]	17	0	1	4	0
Potato	[0]	76	0	2	17	0
Olive	[0]	146	15	3	1	0
Lentils	[0]	116	0	9	20	0
Ruccula	[0]	25	0	3	4	0
Tofu	[0]	70	1	3	8	0
; Fruits
Apple	[0]	52	0	0	14	0
Banana	[0]	88	0	1	23	0
Grape	[9 10 11]	66	0	1	17	0
Kiwi	[10 11 12]	60	1	1	15	0
Lemon	[0]	28	0	1	9	0
Mango	[5 6 7 8]	59	0	1	15	0
Melon	[6 7 8]	33	0	1	8	0
Orange	[1 2 3 10 11 12]	47	0	1	12	0
Peach	[6 7 8]	39	0	1	10	0
Pear	[8 9 10]	57	0	0	15	0
Strawberry	[3 4 5 6 7]	32	0	1	8	0
Pineapple	[0]	50	0	0	13	0
Plum	[5 6 7 8 9]	46	0	0	12	0
Almonds	[0]	580	50	21	21	0
Walnut	[0]	607	54	20	21	0
Berry	[0]	46	0	0	12	0
Raisin	[0]	299	0	3	79	0
Date	[0]	289	0	2	74	0
Prune	[0]	240	0	2	63	0
; Meat
Pork	[0]	242	14	27	0	80
Bacon	[0]	540	42	37	1	110
Beef	[0]	250	15	26	0	90
Chicken	[0]	239	14	27	0	88
Duck	[0]	337	28	19	0	84
Lamb	[0]	294	21	25	0	97
Turkey	[0]	188	7	29	0	109
Veal	[0]	172	8	24	0	103
Foie	[0]	462	44	11	4	150
; Fish
Abalone	[0]	189	20	11	0	94
Anchovy	[0]	210	10	29	0	85
Clam	[0]	147	2	26	5	67
Cockle	[0]	79	1	13	5	52
Crab	[0]	97	2	19	0	53
Crawfish	[0]	87	1	18	0	137
Cuttlefish	[0]	158	1	32	2	224
Halibut	[0]	185	14	14	0	46
Mussel	[0]	172	5	24	7	56
Prawn	[0]	99	0	24	0	189
Salmon	[0]	208	13	20	0	55
Tuna	[0]	184	6	30	0	49
; Lactic
Cheese	[0]	402	33	25	1	105
Chocolate	[0]	545	31	43	61	8
Eggs	[0]	155	11	13	1	373
Milk	[0]	43	1	3	5	5
Yogurt	[0]	58	1	10	4	5
Butter	[0]	71	81	0	0	215
Sour_cream	[0]	193	20	2	3	52
Cream_Cheese	[0]	342	34	6	4	110
Whip_cream	[0]	257	22	3	12	76
Double_cream	[0]	462	52	2	2	154
; Cereals
Wheat_flour	[0]	364	1	10	76	0
Maizena	[0]	381	0	0	91	0
Semolina	[0]	360	1	13	73	0
Bread	[0]	264	3	9	49	0
Cookies	[0]	140	8	2	15	25
Rice	[0]	130	0	3	28	0
Pasta	[0]	131	1	5	25	33
Tortilla	[0]	237	1	7	50	4
Filo	[0]	299	6	7	53	0
Bread_crumbs	[0]	395	5	13	72	0
;Spices
Curry	[0]	324	0	14	56	0
Sugar	[0]	387	0	100	0	0
Piper	[0]	251	3	64	10	0
Oil	[0]	884	100	0	0	0
Vinegar	[0]	18	0	0	0	0
Sesame	[0]	573	50	18	23	0
Oregano	[0]	263	9	4	69	0
Salt	[0]	0	0	0	0	0
Cumin	[0]	375	22	18	44	0
Coriander	[0]	23	0	2	4	0
Mushroom	[0]	0	0	0	0	0
Soy	[0]	446	20	36	30	0
Cinamon	[0]	247	1	4	81	0
Cardamon_powder	[0]	311	7	11	69	0
Vegetable_oil	[0]	884	100	0	0	0
Honey	[0]	304	0	0	82	0
Matcha_powder	[0]	250	0	50	50	0
Cocoa_powder	[0]	228	14	20	58	0
Vanilla_extract	[0]	228	0	0	13
Saffron	[0]	352	6	1	61	0
Cilantro	[0]	22	0	2	4	0
Paprika	[0]	282	13	14	54	0
Chili_pepper	[0]	39	0	2	9	0
Tomasto_paste	[0]	82	0	4	19	0
Taco_sauce 	[0]	36	0	1	7	0
;Others
Savoiardi	[0]	365	9	11	60	221
Baking_powder	[0]	53	0	0	28	0
Coffee	[0]	0	0	0	0	0
Orange_juice	[0]	45	0	0	10	0
Lemon_juice	[0]	28	0	1	9	0
Whisky	[0]	250	0	0	0	0
Red_wine	[0]	83	0	0	3	0
Chicken_broth	[0]	267	14	17	18	13
